# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS
5619	Hawaiian	Hawaiian	hawa1245	492	Three	kolu	kolu	71458	70738	8			k o l u
1600	Rapanui	Rapanui (Easter Island)	rapa1244	492	Three	toru	toru	POLLEX	70950	8			t o r u
1858	Mangareva	Mangareva	mang1401	492	Three	toru	toru	POLLEX	321436	8		toru	t o r u
3081	Sikaiana	Sikaiana	sika1261	492	Three	tolu	tolu	POLLEX	70929	8			t o l u
3302	North_Marquesan	Marquesan	nort2845	492	Three	to'u	to'u	POLLEX	70724	8			t o ʔ u
#
4392	Ra’ivavae	Ra'ivavae	aust1304	1710	Twenty	piti ʔahuGu	piti ʔahuGu	Tamaititahio-1213-2015	291340	646			p i t i ʔ a h u ɢ u
721	Maori	Maori	maor1246	1710	Twenty	rua tekau	rua tekau	Biggs-85-2005	83388	666			r u a t e k a u
5098	Rurutuan	Rurutuan	aust1304	1710	Twenty	piti ʔaʔuru	piti ʔaʔuru	Meyer-128-2005	165159	646			p i t i ʔ a ʔ u r u
1165	Tahitian	Tahitian (Modern)	tahi1242	1710	Twenty	piti 'ahuru	piti 'ahuru	Clark-173-2005	102830	646			p i t i ʔ a h u r u
1166	Tahitian	Tahitian (Modern)	tahi1242	1710	Twenty	ta'au	ta'au	Clark-173-2005	83390	805			t a ʔ a u
5610	Hawaiian	Hawaiian	hawa1245	1710	Twenty	iwakālua	iwakālua	71458	131867	947			i w a k aː l u a
1850	Mangareva	Mangareva	mang1401	1710	Twenty	takau	takau	POLLEX	321432	805			t a k a u
3293	North_Marquesan	Marquesan	nort2845	1710	Twenty	tekau	tekau	POLLEX	83387	805			t e k a u
#
4401	Ra’ivavae	Ra'ivavae	aust1304	1498	Two	piti	piti	Tamaititahio-1213-2015	291331	806			p i t i
4598	Tuamotuan	Tuamotu	tuam1242	1498	Two	rua	rua	POLLEX	70575	9			r u a
731	Maori	Maori	maor1246	1498	Two	rua	rua	Biggs-85-2005	87871	9			r u a
5107	Rurutuan	Rurutuan	aust1304	1498	Two	rua	rua	Meyer-128-2005	118904	9			r u a
5108	Rurutuan	Rurutuan	aust1304	1498	Two	piti	piti	Meyer-128-2005	118903	806			p i t i
1176	Tahitian	Tahitian (Modern)	tahi1242	1498	Two	piti	piti	Clark-173-2005	70502	806			p i t i
5620	Hawaiian	Hawaiian	hawa1245	1498	Two	lua	lua	71458	70381	9			l u a
1601	Rapanui	Rapanui (Easter Island)	rapa1244	1498	Two	rua	rua	POLLEX	70593	9			r u a
